sepal_length,sepal_width,petal_length,petal_width,species
4.95,3.35,1.46,0.38,setosa
4.96,2.95,1.63,0.13,setosa
4.92,3.43,1.59,0.49,setosa
5.23,3.43,1.2,-0.05,setosa
5.09,3.79,1.52,0.17,setosa
5.19,2.96,1.38,0.32,setosa
5.31,3.33,1.65,0.26,setosa
5.27,3.07,1.73,-0.18,setosa
4.08,3.22,1.13,0.42,setosa
5.23,3.03,1.84,-0.05,setosa
4.97,3.31,1.55,0.4,setosa
5.22,3.5,1.76,0.32,setosa
4.78,3.18,1.31,0.32,setosa
4.91,4.1,1.17,-0.07,setosa
5.27,3.83,1.7,0.41,setosa
5.5,3.37,0.93,0.07,setosa
5.33,2.97,1.51,0.26,setosa
4.89,3.62,1.73,0.78,setosa
5.22,3.22,1.28,-0.01,setosa
5.33,3.23,1.47,0.39,setosa
4.75,3.31,0.76,-0.07,setosa
4.8,3.52,1.98,0.2,setosa
5.09,3.45,1.93,0.42,setosa
5.1,3.1,1.86,0.3,setosa
5.43,3.39,2.28,0.11,setosa
5.56,3.43,1.29,-0.08,setosa
4.95,3.83,1.83,0.37,setosa
4.17,3.61,1.72,0.06,setosa
4.78,3.4,2.19,-0.06,setosa
4.85,3.81,1.32,0.11,setosa
6.03,2.43,4.39,1.0,versicolor
6.31,2.8,5.21,1.37,versicolor
6.48,2.41,4.25,1.38,versicolor
6.61,2.3,4.7,1.45,versicolor
6.54,3.01,4.32,1.17,versicolor
5.56,2.86,4.22,1.81,versicolor
5.79,2.9,3.67,1.2,versicolor
6.09,3.05,4.88,1.29,versicolor
5.61,2.94,4.51,1.42,versicolor
5.75,3.14,4.34,1.47,versicolor
6.45,2.98,4.41,1.84,versicolor
6.09,2.71,4.34,1.67,versicolor
6.04,2.96,4.78,1.17,versicolor
5.4,2.89,4.39,1.15,versicolor
6.3,2.98,3.9,1.43,versicolor
5.93,2.36,4.48,1.29,versicolor
5.74,2.96,4.5,1.16,versicolor
6.14,3.1,4.01,1.4,versicolor
6.0,3.48,3.56,1.47,versicolor
5.89,2.77,5.06,1.3,versicolor
6.78,2.67,4.44,1.18,versicolor
5.76,2.82,4.19,1.35,versicolor
5.26,3.4,4.23,1.74,versicolor
5.65,2.89,5.57,1.08,versicolor
5.48,2.64,4.49,1.47,versicolor
6.45,2.72,3.66,1.19,versicolor
6.43,2.94,3.52,1.29,versicolor
6.49,3.44,4.52,1.38,versicolor
5.57,2.55,4.32,1.43,versicolor
6.2,2.66,3.84,1.11,versicolor
6.2,3.19,4.58,1.92,virginica
6.76,3.46,5.53,2.25,virginica
6.46,2.78,5.23,2.38,virginica
6.95,3.15,6.83,1.99,virginica
6.82,3.09,5.41,2.58,virginica
7.13,2.58,5.34,2.11,virginica
6.87,2.6,4.6,1.52,virginica
6.58,2.97,5.64,1.81,virginica
6.17,2.39,5.63,2.09,virginica
6.95,3.24,5.42,2.34,virginica
6.55,2.8,5.29,1.85,virginica
5.84,3.05,5.6,1.91,virginica
6.35,3.11,6.19,2.01,virginica
6.42,2.82,5.47,1.68,virginica
6.56,3.02,6.24,2.24,virginica
6.96,2.79,5.77,1.72,virginica
6.71,3.13,5.19,2.5,virginica
6.8,2.43,5.72,1.9,virginica
6.6,3.14,5.66,1.49,virginica
6.19,3.23,6.02,2.48,virginica
7.23,2.38,5.81,1.52,virginica
7.16,3.08,5.04,2.5,virginica
6.83,2.43,5.62,1.82,virginica
6.64,2.86,6.05,1.64,virginica
6.71,3.54,5.17,2.05,virginica
6.67,2.79,5.76,2.02,virginica
6.27,3.53,5.82,1.96,virginica
6.38,2.76,5.99,1.96,virginica
6.76,2.94,5.75,1.97,virginica
6.87,2.95,5.83,2.17,virginica
